cluster_a	cluster_b	odds_ratio	p_value	jaccard	p_adj
122	689	1152.11505568643	1.69494842161934e-122	0.563157894736842	3.22040200107675e-120
1282	504	Inf	1.0042885961958e-104	0.892307692307692	9.54074166386011e-103
1158	161	0.136108953587809	8.13751154457068e-71	0.0641940085592011	5.15375731156143e-69
1158	511	0.0415450074671478	8.61042210912719e-65	0.0108604845446951	4.08995050183541e-63
500	241	810.234902017744	1.36882881245863e-60	0.540540540540541	5.20154948734281e-59
1262	1282	295.306620345985	4.66276379874709e-45	0.15609756097561	1.47654186960324e-43
1262	504	Inf	2.65526232152876e-42	0.141809290953545	7.20714058700664e-41
161	511	0.0273941153506433	5.47619313980171e-41	0.00460829493087558	1.30059587070291e-39
161	500	Inf	1.33012571276611e-40	0.123050259965338	2.80804317139513e-39
1262	516	242.065208058378	1.11917035039365e-37	0.131707317073171	2.12642366574794e-36
1262	511	0	2.30261593182323e-32	0	3.97724570042195e-31
161	1262	0.248329140533426	2.96280141144051e-21	0.0478214665249734	4.69110223478081e-20
1060	689	8.6864048974444	1.64304799486357e-20	0.179282868525896	2.40137783864675e-19
1262	1060	0	3.99334061839293e-20	0	5.4195336963904e-19
122	1060	6.04107758532228	6.27109555221195e-20	0.186708860759494	7.94338769946847e-19
1158	500	0	7.76060323377076e-20	0	9.21571634010278e-19
161	241	35.4223430221057	3.84396406994639e-19	0.0689655172413793	4.29619513699891e-18
1262	122	0.018532729155411	2.65378434191092e-18	0.00167785234899329	2.80121680535042e-17
1158	122	3.93392847070737	3.35475146986043e-17	0.145379023883697	3.35475146986043e-16
1060	1124	13.8088856323751	6.6486335255451e-16	0.125	6.31620184926784e-15
712	892	29.0756476933152	1.40917170557388e-15	0.197530864197531	1.27496487647161e-14
161	122	0.151644254871689	2.16598383789938e-15	0.0159362549800797	1.87062240545856e-14
511	1060	0	4.52806429609065e-14	0	3.74057485329228e-13
161	689	0.065424334308318	7.4547156969399e-13	0.00439238653001464	5.90164992674409e-12
511	122	0.0277922640323097	1.18914001474045e-12	0.0020746887966805	9.0374641120274e-12
1158	712	14.4085060137145	4.13611839012933e-12	0.0500544069640914	3.02254805432528e-11
1158	1244	0.135068739164252	4.37676432298764e-12	0.00909090909090909	3.07994526432464e-11
1262	689	0	1.68766845150642e-11	0	1.14520359209364e-10
1158	241	0.027428795991104	1.47145850421826e-10	0.00104493207941484	9.6405902000507e-10
689	725	9.17366319914458	3.06909933594203e-10	0.120805369127517	1.94376291276329e-09
1158	200	0.0717316316960099	4.38510414772763e-10	0.00311526479750779	2.68764447763951e-09
1282	516	12.6929410146758	5.12167226085035e-10	0.132075471698113	3.0409929048799e-09
161	504	0	2.86187863370219e-09	0	1.64774830425277e-08
511	1244	4.33082981459685	3.10040037565247e-09	0.0985507246376812	1.73257668051167e-08
161	1060	2.54210250098665	4.5213514614985e-09	0.13353115727003	2.45444793624204e-08
161	1282	0.0371349956910052	1.01299319104158e-08	0.0015600624024961	5.34635295271944e-08
122	725	6.05291283040086	1.28946176811417e-08	0.0933333333333333	6.62156043085656e-08
511	689	0	3.11483784345326e-08	0	1.55741892172663e-07
1158	1282	0.184255889926314	4.32262117853052e-08	0.00926879505664264	2.10589236902769e-07
1262	500	0	9.60318297687756e-08	0	4.56151191401684e-07
1158	689	2.91090387830053	1.8291551759023e-07	0.080168776371308	8.4765727663765e-07
161	1244	0.149788855362793	1.94761971384632e-07	0.00762195121951219	8.81066061025716e-07
1262	389	0	2.49219465284775e-07	0	1.10120228846761e-06
383	516	7.52861716898864	3.8094121761588e-07	0.0984848484848485	1.64497343970494e-06
1262	1244	3.28405792054332	5.04515930945659e-07	0.081140350877193	2.13017837510389e-06
1158	1060	0.440657235821932	6.40817464716044e-07	0.0505243088655863	2.64685474556627e-06
161	725	0.0855196911564533	1.01752898811197e-06	0.00315955766192733	4.11341505832498e-06
1158	504	0.211991462560262	1.42381311694001e-06	0.00933609958506224	5.63592692122089e-06
504	516	8.79889905789682	1.94743439727779e-06	0.0970873786407767	7.55127623434245e-06
1158	389	3.38038348197839	4.38377804419483e-06	0.052518756698821	1.66583565679404e-05
161	1124	3.78997056054325	9.9137588811462e-06	0.0469798657718121	3.69336115179957e-05
1262	200	0	1.1046211798127e-05	0	4.03611584931565e-05
511	500	0	1.93972702502822e-05	0	6.95373839161061e-05
1262	892	0	2.83515124221872e-05	0	9.79415883675556e-05
1262	1124	0	2.83515124221872e-05	0	9.79415883675556e-05
511	389	0	2.97088929686172e-05	0	0.000100798029714951
1262	725	0.066387768434365	4.11919174592813e-05	0.00214592274678112	0.000137306391530938
511	1282	0	4.69148169651535e-05	0	0.000153686469368606
1262	241	0	7.26356557365175e-05	0	0.000233911433727768
1158	892	3.58402318684097	7.66864235859992e-05	0.0377562028047465	0.000242840341355664
161	712	0.154097070807797	9.65493881650455e-05	0.00480769230769231	0.000300727602481289
1158	383	2.36248022513855	0.000126327907203889	0.0623678646934461	0.000387133909173209
511	504	0	0.000192551846764347	0	0.000580711918813109
161	892	0.164957727651378	0.000234372986261413	0.00483091787439614	0.00069579480296357
1262	383	2.37458669678493	0.00024132024776326	0.0708154506437768	0.000705397647307991
122	383	0	0.000256862607931381	0	0.000739452962226702
511	516	0	0.000295621203132573	0	0.000838328785002818
122	1244	0	0.000378253021714408	0	0.00105688344302555
511	712	0	0.000749151487717757	0	0.00206288090820832
1060	389	2.96592713916665	0.00086533213752052	0.0627615062761506	0.00234875865898427
511	1124	0	0.00114621697157583	0	0.00306734119154094
122	500	0	0.00138969925447873	0	0.00361702545686246
1060	500	0	0.00138920073499903	0	0.00361702545686246
161	200	0.263476823007307	0.00150556474588636	0.00802568218298555	0.00386563921241094
122	389	0	0.00214792299232245	0	0.00544140491388353
1060	1282	0	0.00348776803422301	0	0.00871942008555754
122	1282	0	0.00353417547857161	0	0.00872069273933255
1060	1244	0.112700579165643	0.00361345195923156	0.0037037037037037	0.00880199836223071
122	504	0	0.00507023449284944	0	0.0119048320935499
1060	504	0	0.00507521789251336	0	0.0119048320935499
1060	725	0	0.00507521789251336	0	0.0119048320935499
1158	725	0.445967921768238	0.0069533490823806	0.0167189132706374	0.016111418605516
122	516	0	0.00793284126346694	0	0.0179433314292705
1060	516	0	0.00789729397309767	0	0.0179433314292705
161	383	0.483066976362853	0.00858162502997781	0.0230061349693252	0.0191824559493622
122	200	0	0.0122665252581719	0	0.0261869640342995
122	712	0	0.0120394164126023	0	0.0261869640342995
1060	200	0	0.0122049159436823	0	0.0261869640342995
1060	712	0	0.0120260933743929	0	0.0261869640342995
689	1244	0	0.0130201183375772	0	0.0274869164904408
689	383	0	0.0138416706045565	0	0.028900191372151
511	241	0.135474602478949	0.0151063394993759	0.0029673590504451	0.031197875053059
122	892	0	0.0189746987645217	0	0.0379493975290435
122	1124	0	0.0189746987645217	0	0.0379493975290435
1060	892	0	0.018872786206512	0	0.0379493975290435
122	241	0	0.0293667961869252	0	0.058121784119956
689	500	0	0.0305201811887634	0	0.0595277949724337
383	1244	0	0.0307038100384132	0	0.0595277949724337
689	1282	0	0.047057611294366	0	0.0903125873326216
161	516	0.477566762121912	0.0482797053915403	0.014446227929374	0.0908753114093154
689	389	0	0.0483074023807414	0	0.0908753114093154
511	383	0.477761166821415	0.0662180072583904	0.0185185185185185	0.123347268422492
1158	516	1.68706209396165	0.073436065440614	0.0341151385927505	0.129193078089969
689	504	0	0.0721294404196074	0	0.129193078089969
689	516	0	0.0712536944182005	0	0.129193078089969
383	500	0	0.0731373513698275	0	0.129193078089969
383	389	0	0.0717725620834005	0	0.129193078089969
1244	500	0	0.0719598625108718	0	0.129193078089969
689	200	0	0.110633902333512	0	0.189373346336643
689	712	0	0.109652559925147	0	0.189373346336643
383	725	0	0.109769388202179	0	0.189373346336643
1244	389	0	0.112363265114178	0	0.190616253318695
511	725	0.422685476109761	0.12858069366841	0.0114613180515759	0.216197626522105
516	712	2.33936153715675	0.154888868208374	0.0294117647058824	0.258148113680623
689	241	0	0.168352202654325	0	0.274967986017557
1244	516	0	0.169034606910231	0	0.274967986017557
500	1282	0	0.169322391389759	0	0.274967986017557
500	389	0	0.170943678389282	0	0.275248295711556
1060	241	0.227950527505071	0.177160793998842	0.00436681222707424	0.279434288913402
689	892	0	0.177955520834325	0	0.279434288913402
689	1124	0	0.177955520834325	0	0.279434288913402
1060	383	0.561540025310207	0.265610059939457	0.0183823529411765	0.379112533060416
